Order Date	State	Product ID	Category	Product Name	Sales
08.11.2016	Kentucky	FUR-BO-10001798	Furniture	Bush Somerset Collection Bookcase	261,96
08.11.2016	Kentucky	FUR-CH-10000454	Furniture	Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back	731,94
12.06.2016	California	OFF-LA-10000240	Office Supplies	Self-Adhesive Address Labels for Typewriters by Universal	14,62
11.10.2015	Florida	FUR-TA-10000577	Furniture	Bretford CR4500 Series Slim Rectangular Table	957,58
11.10.2015	Florida	OFF-ST-10000760	Office Supplies	Eldon Fold 'N Roll Cart System	22,37
09.06.2014	California	FUR-FU-10001487	Furniture	Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood	48,86
09.06.2014	California	OFF-AR-10002833	Office Supplies	Newell 322	7,28
09.06.2014	California	TEC-PH-10002275	Technology	Mitel 5320 IP Phone VoIP phone	907,15
09.06.2014	California	OFF-BI-10003910	Office Supplies	DXL Angle-View Binders with Locking Rings by Samsill	18,50
09.06.2014	California	OFF-AP-10002892	Office Supplies	Belkin F5C206VTEL 6 Outlet Surge	114,90
09.06.2014	California	FUR-TA-10001539	Furniture	Chromcraft Rectangular Conference Tables	1706,18
09.06.2014	California	TEC-PH-10002033	Technology	Konftel 250 Conference phone - Charcoal black	911,42
15.04.2017	North Carolina	OFF-PA-10002365	Office Supplies	Xerox 1967	15,55
05.12.2016	Washington	OFF-BI-10003656	Office Supplies	Fellowes PB200 Plastic Comb Binding Machine	407,98
22.11.2015	Texas	OFF-AP-10002311	Office Supplies	Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter	68,81
22.11.2015	Texas	OFF-BI-10000756	Office Supplies	Storex DuraTech Recycled Plastic Frosted Binders	2,54
11.11.2014	Wisconsin	OFF-ST-10004186	Office Supplies	"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D"	665,88
13.05.2014	Utah	OFF-ST-10000107	Office Supplies	Fellowes Super Stor/Drawer	55,50
27.08.2014	California	OFF-AR-10003056	Office Supplies	Newell 341	8,56
27.08.2014	California	TEC-PH-10001949	Technology	Cisco SPA 501G IP Phone	213,48
27.08.2014	California	OFF-BI-10002215	Office Supplies	"Wilson Jones Hanging View Binder, White, 1"""	22,72
09.12.2016	Nebraska	OFF-AR-10000246	Office Supplies	Newell 318	19,46
09.12.2016	Nebraska	OFF-AP-10001492	Office Supplies	Acco Six-Outlet Power Strip, 4' Cord Length	60,34
16.07.2017	Pennsylvania	FUR-CH-10002774	Furniture	Global Deluxe Stacking Chair, Gray	71,37
25.09.2015	Utah	FUR-TA-10000577	Furniture	Bretford CR4500 Series Slim Rectangular Table	1044,63
16.01.2016	California	OFF-BI-10001634	Office Supplies	Wilson Jones Active Use Binders	11,65
16.01.2016	California	TEC-AC-10003027	Technology	Imation 8GB Mini TravelDrive USB 2.0 Flash Drive	90,57
17.09.2015	Pennsylvania	FUR-BO-10004834	Furniture	Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish	3083,43
17.09.2015	Pennsylvania	OFF-BI-10000474	Office Supplies	Avery Recycled Flexi-View Covers for Binding Systems	9,62
17.09.2015	Pennsylvania	FUR-FU-10004848	Furniture	"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock"	124,20
17.09.2015	Pennsylvania	OFF-EN-10001509	Office Supplies	Poly String Tie Envelopes	3,26
17.09.2015	Pennsylvania	OFF-AR-10004042	Office Supplies	BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain	86,30
17.09.2015	Pennsylvania	OFF-BI-10001525	Office Supplies	"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red"	6,86
17.09.2015	Pennsylvania	OFF-AR-10001683	Office Supplies	Lumber Crayons	15,76
19.10.2017	Texas	OFF-PA-10000249	Office Supplies	Easy-staple paper	29,47
08.12.2016	Texas	TEC-PH-10004977	Technology	GE 30524EE4	1097,54
08.12.2016	Texas	FUR-FU-10003664	Furniture	Electrix Architect's Clamp-On Swing Arm Lamp, Black	190,92
27.12.2015	Texas	OFF-EN-10002986	Office Supplies	"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes"	113,33
27.12.2015	Texas	FUR-BO-10002545	Furniture	Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors	532,40
27.12.2015	Texas	FUR-CH-10004218	Furniture	Global Fabric Manager's Chair, Dark Gray	212,06
27.12.2015	Texas	TEC-PH-10000486	Technology	Plantronics HL10 Handset Lifter	371,17
10.09.2017	Illinois	TEC-PH-10004093	Technology	Panasonic Kx-TS550	147,17
17.07.2016	California	OFF-ST-10003479	Office Supplies	Eldon Base for stackable storage shelf, platinum	77,88
19.09.2017	Florida	OFF-ST-10003282	Office Supplies	Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers	95,62
11.03.2016	Minnesota	TEC-AC-10000171	Technology	Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack	45,98
11.03.2016	Minnesota	OFF-BI-10003291	Office Supplies	Wilson Jones Leather-Like Binders with DublLock Round Rings	17,46
20.10.2014	Michigan	OFF-ST-10001713	Office Supplies	Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black	211,96
20.06.2016	Delaware	TEC-AC-10002167	Technology	Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive	45,00
20.06.2016	Delaware	TEC-PH-10003988	Technology	LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite	21,80
18.04.2015	Indiana	OFF-BI-10004410	Office Supplies	C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack	38,22
18.04.2015	Indiana	OFF-LA-10002762	Office Supplies	Avery 485	75,18
18.04.2015	Indiana	FUR-FU-10001706	Furniture	Longer-Life Soft White Bulbs	6,16
18.04.2015	Indiana	FUR-CH-10003061	Furniture	Global Leather Task Chair, Black	89,99
11.12.2016	New York	OFF-FA-10000304	Office Supplies	Advantus Push Pins	15,26
11.12.2016	New York	TEC-PH-10002447	Technology	AT&T CL83451 4-Handset Telephone	1029,95
17.06.2016	New York	OFF-ST-10000604	Office Supplies	Home/Office Personal File Carts	208,56
17.06.2016	New York	OFF-PA-10001569	Office Supplies	Xerox 232	32,40
17.06.2016	New York	FUR-CH-10003968	Furniture	Novimex Turbo Task Chair	319,41
17.06.2016	New York	OFF-PA-10000587	Office Supplies	Array Parchment Paper, Assorted Colors	14,56
17.06.2016	New York	TEC-AC-10002167	Technology	Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive	30,00
17.06.2016	New York	OFF-BI-10001460	Office Supplies	Plastic Binding Combs	48,48
17.06.2016	New York	OFF-AR-10001868	Office Supplies	Prang Dustless Chalk Sticks	1,68
24.11.2015	California	TEC-AC-10004633	Technology	Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack	13,98
24.11.2015	California	OFF-BI-10001078	Office Supplies	"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11"""	25,82
24.11.2015	California	OFF-PA-10003892	Office Supplies	Xerox 1943	146,73
24.11.2015	California	FUR-FU-10000397	Furniture	Luxo Economy Swing Arm Lamp	79,76
30.04.2015	Illinois	FUR-CH-10001146	Furniture	Global Value Mid-Back Manager's Chair, Gray	213,12
05.12.2014	Arizona	OFF-AR-10002671	Office Supplies	Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige	1113,02
05.12.2014	Arizona	TEC-PH-10002726	Technology	netTALK DUO VoIP Telephone Service	167,97
04.06.2016	Virginia	OFF-PA-10000482	Office Supplies	Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate	75,88
18.09.2016	New York	OFF-BI-10004654	Office Supplies	Avery Binding System Hidden Tab Executive Style Index Sets	4,62
14.09.2017	Michigan	OFF-PA-10004675	Office Supplies	"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16"""	19,05
26.04.2015	Tennessee	FUR-CH-10000513	Furniture	High-Back Leather Manager's Chair	831,94
26.04.2015	Tennessee	FUR-FU-10003708	Furniture	"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48"""	97,04
26.04.2015	Tennessee	OFF-ST-10004123	Office Supplies	Safco Industrial Wire Shelving System	72,78
09.12.2017	Texas	OFF-BI-10004182	Office Supplies	Economy Binders	1,25
09.12.2017	Texas	FUR-FU-10000260	Furniture	"6"" Cubicle Wall Clock, Black"	9,71
09.12.2017	Texas	OFF-ST-10000615	Office Supplies	SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h	27,24
26.11.2014	Texas	FUR-FU-10003194	Furniture	Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak	19,30
12.06.2016	Alabama	OFF-AP-10002118	Office Supplies	"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators"	208,16
12.06.2016	Alabama	OFF-BI-10002309	Office Supplies	Avery Heavy-Duty EZD  Binder With Locking Rings	16,74
12.10.2014	California	OFF-AR-10002053	Office Supplies	Premium Writing Pencils, Soft, #2 by Central Association for the Blind	14,90
12.10.2014	California	OFF-ST-10002370	Office Supplies	Sortfiler Multipurpose Personal File Organizer, Black	21,39
03.09.2015	North Carolina	OFF-EN-10000927	Office Supplies	Jet-Pak Recycled Peel 'N' Seal Padded Mailers	200,98
13.11.2017	Illinois	OFF-ST-10003656	Office Supplies	Safco Industrial Wire Shelving	230,38
28.05.2017	South Carolina	FUR-CH-10000863	Furniture	Novimex Swivel Fabric Task Chair	301,96
26.10.2017	Minnesota	TEC-AC-10001998	Technology	Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired	19,99
26.10.2017	Minnesota	OFF-LA-10000134	Office Supplies	Avery 511	6,16
05.04.2016	Texas	OFF-ST-10003442	Office Supplies	Eldon Portable Mobile Manager	158,37
17.09.2016	California	OFF-AR-10004930	Office Supplies	Turquoise Lead Holder with Pocket Clip	20,10
17.09.2016	California	TEC-PH-10004093	Technology	Panasonic Kx-TS550	73,58
17.09.2016	California	OFF-PA-10000304	Office Supplies	Xerox 1995	6,48
31.01.2015	Minnesota	OFF-PA-10003177	Office Supplies	Xerox 1999	12,96
31.01.2015	Minnesota	FUR-FU-10003799	Furniture	"Seth Thomas 13 1/2"" Wall Clock"	53,34
31.01.2015	Minnesota	OFF-BI-10002852	Office Supplies	Ibico Standard Transparent Covers	32,96
06.11.2017	Oregon	OFF-BI-10004738	Office Supplies	Flexible Leather- Look Classic Collection Ring Binder	5,68
09.11.2017	New York	FUR-FU-10000629	Furniture	9-3/4 Diameter Round Wall Clock	96,53
17.06.2017	California	OFF-BI-10001721	Office Supplies	Trimflex Flexible Post Binders	51,31
06.09.2016	Minnesota	OFF-AP-10000358	Office Supplies	Fellowes Basic Home/Office Series Surge Protectors	77,88
29.08.2016	Illinois	OFF-PA-10003256	Office Supplies	Avery Personal Creations Heavyweight Cards	64,62
29.08.2016	Illinois	TEC-AC-10001767	Technology	SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card	95,98
29.08.2016	Illinois	OFF-BI-10002609	Office Supplies	Avery Hidden Tab Dividers for Binding Systems	1,79
01.12.2016	Minnesota	OFF-PA-10004040	Office Supplies	Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)	23,92
13.11.2015	Colorado	TEC-AC-10001552	Technology	Logitech K350 2.4Ghz Wireless Keyboard	238,90
